accession	model_name	marker_id	domain	name	length	published_single_copy_bac120	published_ubiquity_bac120	published_single_copy_ar53	published_ubiquity_ar53	sets	ubiquity_bac	ubiquity_ar	ubiquity_pat	ubiquity_dpann	single_copy_bac	single_copy_ar	single_copy_pat	single_copy_dpann
TIGR00967	3a0501s007	TIGR_TIGR00967	bac120,ar53	3a0501s007	414	87.33	88.25	80.80	81.37	bac,ar,pat,dpann	0.9708	0.9027	0.9860	0.9333	0.9893	0.9851	0.9898	0.9929
TIGR01146	ATPsyn_F1gamma	TIGR_TIGR01146	bac120	ATPsyn_F1gamma	286	76.54	81.78			bac	0.8604	0.0034	0.5030	0.0000	0.9588	1.0000	0.9482	1.0000
PF04919	DUF655	PFAM_PF04919.13	ar53	DUF655	181			92.87	94.22	ar,dpann	0.0271	0.9933	0.0120	0.9833	0.9231	0.9932	1.0000	0.9966
TIGR00362	DnaA	TIGR_TIGR00362	bac120	DnaA	437	87.10	92.24			bac,pat	0.9688	0.0839	0.9699	0.0100	0.9419	0.9600	0.9793	1.0000
TIGR00483	EF-1_alpha	TIGR_TIGR00483	ar53	EF-1_alpha	427			83.45	86.45	ar,dpann	0.0000	0.9664	0.0000	0.9833	1.0000	0.9583	1.0000	0.9831
PF07541	EIF_2_alpha	PFAM_PF07541.13	ar53	EIF_2_alpha	114			89.49	90.83	ar,dpann	0.0063	0.9832	0.0020	0.9867	1.0000	0.9829	1.0000	0.9932
PF18075	FtsX_ECD	PF18075.9		FtsX_ECD						pat	0.5271	0.0034	0.9479	0.0100	0.9881	1.0000	0.9831	1.0000
TIGR03594	GTPase_EngA	TIGR_TIGR03594	bac120	GTPase_EngA	432	88.87	89.53			bac	0.9542	0.0000	0.3868	0.0000	0.9803	1.0000	0.9896	1.0000
PF22090	Gins51_C	PF22090.2		Gins51_C						dpann	0.0000	0.5940	0.0000	0.8967	1.0000	0.9548	1.0000	0.9888
PF01025	GrpE	PFAM_PF01025.20	bac120	GrpE	166	85.72	94.34			bac,pat	0.9667	0.6242	0.9599	0.6533	0.8427	0.8925	0.9729	0.9541
TIGR00487	IF-2	TIGR_TIGR00487	bac120	IF-2	587	92.28	93.22			bac,pat	0.9854	0.0000	0.9679	0.0000	0.9894	1.0000	0.9814	1.0000
TIGR00405	KOW_elon_Spt5	TIGR_TIGR00405	ar53	KOW_elon_Spt5	145			91.76	92.76	ar,dpann	0.0000	0.9866	0.0000	0.9800	1.0000	0.9966	1.0000	1.0000
TIGR01632	L11_bact	TIGR_TIGR01632	bac120	L11_bact	140	83.92	84.59			bac,pat	0.9521	0.0000	0.9559	0.0000	0.9978	1.0000	0.9937	1.0000
TIGR00059	L17	TIGR_TIGR00059	bac120	L17	112	90.64	91.44			bac,pat	0.9771	0.0000	0.9559	0.0000	0.9957	1.0000	0.9958	1.0000
TIGR00061	L21	TIGR_TIGR00061	bac120	L21	101	91.57	92.40			bac,pat	0.9729	0.0000	0.9539	0.0100	0.9914	1.0000	0.9937	1.0000
TIGR03626	L3_arch	TIGR_TIGR03626	ar53	L3_arch	331			78.54	78.70	ar,dpann	0.0000	0.9698	0.0000	0.8667	1.0000	0.9931	1.0000	1.0000
TIGR03625	L3_bact	TIGR_TIGR03625	bac120	L3_bact	202	84.40	85.07			bac,pat	0.9604	0.0000	0.9639	0.0000	1.0000	1.0000	0.9917	1.0000
TIGR03654	L6_bact	TIGR_TIGR03654	bac120	L6_bact	175	85.15	85.63			bac,pat	0.9625	0.0000	0.9780	0.0000	0.9978	1.0000	0.9939	1.0000
TIGR00158	L9	TIGR_TIGR00158	bac120	L9	148	90.78	91.95			bac	0.9812	0.0000	0.6453	0.0067	0.9894	1.0000	0.9969	1.0000
TIGR00649	MG423	TIGR00649.1		MG423						pat	0.5042	0.2517	0.9499	0.5767	0.8760	0.9333	0.9789	0.9884
PF27325	MJ0538	PF27325.1		MJ0538						dpann	0.0021	0.0738	0.0000	0.9333	1.0000	1.0000	1.0000	0.9929
TIGR01953	NusA	TIGR_TIGR01953	bac120	NusA	340	92.60	93.45			bac,pat	0.9812	0.0000	0.9619	0.0033	0.9873	1.0000	0.9917	1.0000
TIGR02729	Obg_CgtA	TIGR_TIGR02729	bac120	Obg_CgtA	329	91.06	92.67			bac	0.9604	0.0268	0.5431	0.0167	0.9826	1.0000	1.0000	1.0000
PF03726	PNPase	PFAM_PF03726.15	bac120	PNPase	83	83.63	84.23			bac	0.9708	0.0034	0.4589	0.0100	0.9957	1.0000	0.9956	1.0000
NF003211	PRK04173.1	NF003211.1		PRK04173.1						pat	0.4771	0.1376	0.9519	0.6867	0.9956	1.0000	0.9747	0.9951
TIGR00337	PyrG	TIGR_TIGR00337	bac120	PyrG	526	85.56	87.60			bac	0.9583	0.9664	0.8036	0.7433	0.9783	0.9826	0.9800	0.9776
TIGR00291	RNA_SBDS	TIGR_TIGR00291	ar53	RNA_SBDS	231			92.34	92.99	ar,dpann	0.0000	0.9832	0.0000	0.9533	1.0000	0.9863	1.0000	0.9965
PF21210	RNA_helicase_helical	PF21210.4		RNA_helicase_helical						dpann	0.0000	0.6342	0.0040	0.9300	1.0000	0.9153	1.0000	0.9713
PF01000	RNA_pol_A_bac	PFAM_PF01000.27	ar53	RNA_pol_A_bac	112			92.23	92.79	ar,dpann	0.0063	0.9765	0.0140	0.9900	1.0000	0.9966	0.8571	0.9933
TIGR02390	RNA_pol_rpoA1	TIGR_TIGR02390	ar53	RNA_pol_rpoA1	867			82.65	83.06	ar,dpann	0.0000	0.9832	0.0040	0.9633	1.0000	0.9829	1.0000	0.9758
